site,edition,classification,t,n,m,grade,location,stage,note,source_block_id,source_pdf_page,printed_page,section_heading,extraction_status
Oral Cavity,AJCC8,any,T4b,Any,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Oral Cavity,AJCC8,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00625; cancer committee review pending,B00625,31,92,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,"T0, T1, T2, T3",N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,T4a,N2,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,T4b,Any,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Major Salivary Glands,AJCC8,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00631; cancer committee review pending,B00631,35,100,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,"T0, T1 or T2",N2,M0,Any,Any,II,extracted_candidate_v2_1 from B00642; cancer committee review pending,B00642,39,120,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T3 or T4,N3,M0,Any,Any,III,extracted_candidate_v2_1 from B00642; cancer committee review pending,B00642,39,120,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,Any,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00642; cancer committee review pending,B00642,39,120,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T3 or T4,N2,M0,Any,Any,III,extracted_candidate_v2_1 from B00642; cancer committee review pending,B00642,39,120,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,"T1,T2,T3",N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T4b,Any,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00658; cancer committee review pending,B00658,47,12,clinical M to complete stage group),simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,"T1,T2,T3",N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T4b,Any,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Nasal Cavity and Paranasal Sinuses,AJCC8,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00659; cancer committee review pending,B00659,47,12,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,"T1, T2, T3",N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,"T1, T2, T3, T4a",N2,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,Any,N3,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,T4b,Any,M0,Any,Any,IVB,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Larynx,AJCC8,any,Any,Any,M1,Any,Any,IVC,extracted_candidate_v2_1 from B00666; cancer committee review pending,B00666,49,156,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T3,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T1,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T2,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T3,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T1,N2,M0,Any,Any,IV,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T2,N2,M0,Any,Any,IV,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T3,N2,M0,Any,Any,IV,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,Any,N3,M0,Any,Any,IV,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T4,Any,M0,Any,Any,IV,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,Any,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00676; cancer committee review pending,B00676,57,179,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,Tis(LAMN),N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T3,N0,M0,Any,Any,IIA,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T4a,N0,M0,Any,Any,IIB,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T4b,N0,M0,Any,Any,IIC,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T1,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T2,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T3,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,T4,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,Any,N2,M0,Any,Any,IIIC,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Appendix - Carcinoma,AJCC8,any,Any,Any,M1a,Any,Any,IVA,extracted_candidate_v2_1 from B00690; cancer committee review pending,B00690,65,243,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T1a,N0,M0,Any,Any,IA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T1a,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T1b,N0,M0,Any,Any,IB,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T1b,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T2,N0,M0,Any,Any,IB,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T2,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T3a,N0,M0,Any,Any,IIA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T3a,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T3b,N0,M0,Any,Any,IIB,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T3b,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,T4,Any,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,Any,N2,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Ampulla of Vater,AJCC8,any,Any,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00699; cancer committee review pending,B00699,77,333,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T1,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T2,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T3,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T3,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T4,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Stomach,AJCC8,any,T4,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00705; cancer committee review pending,B00705,81,355,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00711; cancer committee review pending,B00711,84,380,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T3,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00711; cancer committee review pending,B00711,84,380,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T4,N0,M0,Any,Any,III,extracted_candidate_v2_1 from B00711; cancer committee review pending,B00711,84,380,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Appendix,AJCC8,any,T1,N1,M0,Any,Any,III,extracted_candidate_v2_1 from B00718; cancer committee review pending,B00718,87,392,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T1,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T1,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T2,N0,M0,Any,Any,IIA,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T2,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T2,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T3,N0,M0,Any,Any,IIB,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T3,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T3,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T4,N0,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T4,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T4,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00724; cancer committee review pending,B00724,91,399,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Breast,AJCC8,any,Tis,N0,M0,Any,Any,0,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T1,N0,M0,Any,Any,IA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T0,N1mi,M0,Any,Any,IB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T1,N1mi,M0,Any,Any,IB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T0,N1,M0,Any,Any,IIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T1,N1,M0,Any,Any,IIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T2,N0,M0,Any,Any,IIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T2,N1,M0,Any,Any,IIB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T3,N0,M0,Any,Any,IIB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T0,N2,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T1,N2,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T2,N2,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T3,N1,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T3,N2,M0,Any,Any,IIIA,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T4,N0,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T4,N1,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,T4,N2,M0,Any,Any,IIIB,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,Any,N3,M0,Any,Any,IIIC,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,Any,Any,M1,Any,Any,IV,extracted_candidate_v2_1 from B00797; cancer committee review pending,B00797,155,625,Pathological Prognostic Stage Group tables for case reporting.,simple_tnm_stage_table_candidate
Breast,AJCC8,any,Any,Any,Any,Any,Any,0,extracted_candidate_v2_1 from B00802; cancer committee review pending,B00802,159,629,Pathological Prognostic Stage,simple_tnm_stage_table_candidate
Breast,AJCC8,any,Any,Any,Any,Any,Any,0,extracted_candidate_v2_1 from B00803; cancer committee review pending,B00803,159,629,Pathological Prognostic Stage applies to patients with breast,simple_tnm_stage_table_candidate
Vulva,AJCC8,any,T1a,N0,M0,Any,Any,IA,extracted_candidate_v2_1 from B00809; cancer committee review pending,B00809,170,645,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Vulva,AJCC8,any,T1b,N0,M0,Any,Any,IB,extracted_candidate_v2_1 from B00809; cancer committee review pending,B00809,170,645,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Vulva,AJCC8,any,T2,N0,M0,Any,Any,II,extracted_candidate_v2_1 from B00809; cancer committee review pending,B00809,170,645,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Vulva,AJCC8,any,T3,Any,M0,Any,Any,IVA,extracted_candidate_v2_1 from B00809; cancer committee review pending,B00809,170,645,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Vulva,AJCC8,any,Any,Any,M1,Any,Any,IVB,extracted_candidate_v2_1 from B00809; cancer committee review pending,B00809,170,645,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
Corpus Uteri - Sarcoma,AJCC8,any,T1a,N0,M0,Any,Any,IA,extracted_candidate_v2_1 from B00826; cancer committee review pending,B00826,180,683,AJCC PROGNOSTIC STAGE GROUPS,simple_tnm_stage_table_candidate
